filename,classic,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,c4
INFO:root:data/tc103817.full,0,0,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc103848.full,0,0,0,0,0,0,0,0,0,0,0,0,,,
INFO:root:data/tc104004.full,0,0,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc10400.full,0,0,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc104033.full,0,0,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc104038.full,0,0,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc104154.full,0,0,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc104163.full,0,0,0,0,0,0,0,0,0,0,0,0,,,
INFO:root:data/tc104204.full,0,0,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc104216.full,0,0,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc104226.full,0,0,0,0,1,0,1,1,0,0,0,,,,
INFO:root:data/tc104260.full,0,0,0,0,0,0,0,0,0,0,0,1,,,
INFO:root:data/tc104310.full,0,0,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc104484.full,0,0,0,0,0,0,0,0,0,0,0,0,,,
INFO:root:data/tc104578.full,0,0,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc10458.full,0,0,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc1046.full,0,0,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc104724.full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INFO:root:data/tc104891.full,0,0,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc105004.full,0,0,0,0,0,0,0,0,0,0,0,0,,,
INFO:root:data/tc105039.full,0,0,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc105075.full,0,0,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc105094.full,0,1,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc105225.full,0,0,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc105398.full,0,0,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc105524.full,0,0,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc105541.full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INFO:root:data/tc105804.full,0,0,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc105822.full,0,0,0,0,0,0,0,0,0,0,0,0,,,
INFO:root:data/tc105925.full,0,1,1,1,0,1,0,0,1,0,1,1,,,
INFO:root:data/tc105954.full,0,0,0,0,0,0,0,0,0,0,0,0,,,
INFO:root:data/tc105960.full,0,0,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc106008.full,0,0,0,0,0,0,0,0,0,0,0,1,,,
INFO:root:data/tc106019.full,0,0,0,0,0,0,0,0,0,0,0,0,,,
INFO:root:data/tc106027.full,0,0,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc106089.full,0,0,0,0,0,0,0,0,0,0,0,,,,
INFO:root:data/tc106176.full,0,0,0,0,0,0,0,0,0,0,0,0,0,,
